X	rep	beta0	beta	q	sim_hash	sim_id	seed
X_bin_med	4	-3	4	3	22f951dd3506f48a4b854ebab0c59e4d	22f95	143253
X_bin_med	4	-3	4	5	a67dba9b19125057db786ffa9aa44a9f	a67db	681947
X_bin_med	4	-2	0.5	1	841670c7b95bceebe646d38823114695	84167	541031
X_bin_med	4	-2	0.5	3	78961aa40cd0255046c70949cafac72c	78961	493921
X_bin_med	4	-2	0.5	5	49458574d7e36b4605114bb524de0a5a	49458	300120
X_bin_med	4	-2	1	1	7ec5ec220ca0c6f54bb3d472f3a29f46	7ec5e	519262
X_bin_med	4	-2	1	3	9f48dc8a45d2e1f1620515ae3fbbab27	9f48d	652429
X_bin_med	4	-2	1	5	e56adf0e337cefe08c7a7473d3ed70cc	e56ad	939693
X_bin_med	4	-2	2	1	9e47c9aaa16d77f5297624bfc8da6b62	9e47c	648316
X_bin_med	4	-2	2	3	757b8a82d86bb01ff55f1cb26f0a9038	757b8	481208
X_bin_med	4	-2	2	5	7c636f9202e6a13770e6a7afd25f3614	7c636	509494
X_bin_med	4	-2	4	1	ca21c55cd67a709db2be778b718f6c2a	ca21c	827932
X_bin_med	4	-2	4	3	7d5c2651b9e4c3a98ae077964850548a	7d5c2	513474
X_bin_med	4	-2	4	5	da80a67d654b99ca405aefde34a0ea2e	da80a	894986
X_bin_med	5	-5	0.5	1	0f628e8f1e85ff69ff3f614fdd971bce	0f628	63016
X_bin_med	5	-5	0.5	3	df5e60a33a046887953fda9a44b86123	df5e6	914918
X_bin_med	5	-5	0.5	5	edb8c2b3dd8adf9ddcf928404907cd34	edb8c	973708
X_bin_med	5	-5	1	1	1b8fd246ec3467c0204104609a215b1b	1b8fd	112893
X_bin_med	5	-5	1	3	c88dc063c9a2433a49b1930d7a04257d	c88dc	821468
X_bin_med	5	-5	1	5	e880b179ad13bf54f1197a66f00ba8d6	e880b	952331
X_bin_med	5	-5	2	1	52b6cae89f732dfec789e7dec78cd323	52b6c	338796
X_bin_med	5	-5	2	3	ad95ab95b1910fbfd8b39a952f261994	ad95a	711002
X_bin_med	5	-5	2	5	e20ee633ccfa0bd4eb1a5e048f2ef9ca	e20ee	925934
X_bin_med	5	-5	4	1	a6a04c8f603de463515cb705a7a535f4	a6a04	682500
X_bin_med	5	-5	4	3	2c293b7134dfe1258f286ec69fb653da	2c293	180883
X_bin_med	5	-5	4	5	9d1c205afc6d223bad3b8fe62508cc56	9d1c2	643522
X_bin_med	5	-4	0.5	1	d4f2ed23d48b6c22004304d663427bbd	d4f2e	872238
X_bin_med	5	-4	0.5	3	fbf50a32659adada4a7840fb383e72dc	fbf50	1032016
X_bin_med	5	-4	0.5	5	9e7acb8ba7f16ef6376f44fe758dd663	9e7ac	649132
X_bin_med	5	-4	1	1	7ea5b1e260596e162e4064c6dc9e23e4	7ea5b	518747
X_bin_med	5	-4	1	3	c1943670cef720b0cbc199e81c744ebb	c1943	792899
X_bin_med	5	-4	1	5	2fdd2864e9a197dcceb7832ea3a03f40	2fdd2	196050
X_bin_med	5	-4	2	1	a3382dd7778a45bcfdfdeac49f26054e	a3382	668546
X_bin_med	5	-4	2	3	45a9593dce2c545511e12786044c169d	45a95	285333
X_bin_med	5	-4	2	5	b7a822055f9569261b97aa6e05553ba6	b7a82	752258
X_bin_med	5	-4	4	1	3a27169034fbea8748099df9a3ae0269	3a271	238193
X_bin_med	5	-4	4	3	dffbeab23e3621ffe184cc9df79275a6	dffbe	917438
X_bin_med	5	-4	4	5	7d570f4c38ca0aea6de72a96028f0747	7d570	513392
X_bin_med	5	-3	0.5	1	64417313fd887d35c4e88b4624317c80	64417	410647
X_bin_med	5	-3	0.5	3	d023ea4c08be87a780a72511c115b39b	d023e	852542
X_bin_med	5	-3	0.5	5	d7914ece9b555c0f9231593b388d7213	d7914	882964
X_bin_med	5	-3	1	1	0e79e72525860de8e4b57b61550df468	0e79e	59294
X_bin_med	5	-3	1	3	6d9e51e371c44f51ccf68226a6aeab24	6d9e5	448997
X_bin_med	5	-3	1	5	f7282d65b494cdce2f9128e9ef0bd2a7	f7282	1012354
X_bin_med	5	-3	2	1	47fdde94eafb6efb3808e50f0a549025	47fdd	294877
X_bin_med	5	-3	2	3	f8d789063ed784b0dbe4b190591ce713	f8d78	1019256
X_bin_med	5	-3	2	5	ce5f2b1890e4fb12cdc73b5cc00fe34f	ce5f2	845298
X_bin_med	5	-3	4	1	9b7f160c0d6a03209a96d01b89e9374f	9b7f1	636913
X_bin_med	5	-3	4	3	499fd9db583824689fe417289882699a	499fd	301565
X_bin_med	5	-3	4	5	751be0de99315a39a236018bfe63a61e	751be	479678
X_bin_med	5	-2	0.5	1	fa44fe91cbe55c06c3aff18200817a6d	fa44f	1025103
X_bin_med	5	-2	0.5	3	4dd9c9986bad04866a5034fbb278ddab	4dd9c	318876
X_bin_med	5	-2	0.5	5	c767d34c5c5f69a5ef9d1d2341ceb5b1	c767d	816765
X_bin_med	5	-2	1	1	99d1a60e004a380f584555fd457db8b6	99d1a	630042
X_bin_med	5	-2	1	3	37657f8180ea81499efdecac7fcb06b6	37657	226903
X_bin_med	5	-2	1	5	fe198a84b2fa0c4d2fbaaf0219c4d1ec	fe198	1040792
X_bin_med	5	-2	2	1	5b52475f4416e76092fc3eaf0d3ac725	5b524	374052
X_bin_med	5	-2	2	3	1849ec06274fae468c9fdbc9ab9aead5	1849e	99486
X_bin_med	5	-2	2	5	203bbfa0bd821cada8be94fdce44aab2	203bb	132027
X_bin_med	5	-2	4	1	1c3c56ab4be661d3aec538e470d299f9	1c3c5	115653
X_bin_med	5	-2	4	3	1c20f7277b4a9ff156e071c15fefd04b	1c20f	115215
X_bin_med	5	-2	4	5	5922a004e8f003b8b99c781a0defbe8c	5922a	365098
X_bin_med	6	-5	0.5	1	697d848cfd86847d4d1f8cb3a01922c6	697d8	432088
X_bin_med	6	-5	0.5	3	195fc865d01e552996ddcfe85073dad2	195fc	103932
X_bin_med	6	-5	0.5	5	0c5469155bf410fa5457ecf83ec2c910	0c546	50502
X_bin_med	6	-5	1	1	ffdee0702ee8214bf28789ef709d577a	ffdee	1048046
X_bin_med	6	-5	1	3	d112fa9225d107696acd3f1a697c1f2a	d112f	856367
X_bin_med	6	-5	1	5	51843e109bbe2af3dd5544e0665ce414	51843	333891
X_bin_med	6	-5	2	1	03dfdfc8100347055acfedf862f7a98d	03dfd	15869
X_bin_med	6	-5	2	3	b30176a0cf51820d1af23020e8bb9718	b3017	733207
X_bin_med	6	-5	2	5	f1fe88fe5bb8b393fc8ac2720b60c049	f1fe8	991208
X_bin_med	6	-5	4	1	a40076d0fad71c6d1bc45dad7282b773	a4007	671751
X_bin_med	6	-5	4	3	cb344fa3ebc738a6d0689eebbc90c94c	cb344	832324
X_bin_med	6	-5	4	5	9b59d7c936595804249a4da97ba0fbe0	9b59d	636317
X_bin_med	6	-4	0.5	1	4fbb30389e707fe81fcf43a385cdf334	4fbb3	326579
X_bin_med	6	-4	0.5	3	d9295d3fbc75557a383956c05fcc8090	d9295	889493
X_bin_med	6	-4	0.5	5	c3c84749eb0e714290202f9f2a43824d	c3c84	801924
X_bin_med	6	-4	1	1	6ef8277a26d065a774de744be2322b3c	6ef82	454530
X_bin_med	6	-4	1	3	f01fcc41930b8043dfefd11c1c3adbd2	f01fc	983548
X_bin_med	6	-4	1	5	4e6decc7656b66c4e5c8083f9678e465	4e6de	321246
X_bin_med	6	-4	2	1	6be9f0b233177e8314b869cf223e1df1	6be9f	442015
X_bin_med	6	-4	2	3	6bd4a4828179d8e5490d62b63b556c63	6bd4a	441674
X_bin_med	6	-4	2	5	7bc31c9d8644f7d84a50608ce4dddffd	7bc31	506929
X_bin_med	6	-4	4	1	67a8ab5ca58f0cef9f71e11deb10f9b1	67a8a	424586
X_bin_med	6	-4	4	3	74bf3ea6b880d853cbb509b074b30b8e	74bf3	478195
X_bin_med	6	-4	4	5	71698fb6fbd648547953977e1727a58d	71698	464536
X_bin_med	6	-3	0.5	1	58af5dc508fa7b15ae23af937ffa389a	58af5	363253
X_bin_med	6	-3	0.5	3	1ee970e4478e5c048bc56188480db6a6	1ee97	126615
X_bin_med	6	-3	0.5	5	d320c507b9756f483ea5cec709b75f4a	d320c	864780
X_bin_med	6	-3	1	1	477da1618aad8fec94801eca26eae94b	477da	292826
X_bin_med	6	-3	1	3	e2cd6158be88e7878354166e5b4e3e78	e2cd6	928982
X_bin_med	6	-3	1	5	d344b3d225acf02f4cf4fef66a0c0075	d344b	865355
X_bin_med	6	-3	2	1	55ed16a8ba28aec8b1ab04be6941d0b7	55ed1	351953
X_bin_med	6	-3	2	3	311c74ed0e70eb12d59d34c9fe69271f	311c7	201159
X_bin_med	6	-3	2	5	49cc643f5907ff0865de5d828bd25905	49cc6	302278
X_bin_med	6	-3	4	1	31d9c55505d56dc357de133b294e98be	31d9c	204188
X_bin_med	6	-3	4	3	6eabf137b6e8c947c1e0ce565686fe9e	6eabf	453311
X_bin_med	6	-3	4	5	ba971e795c11c5bd9b020abeda0ec7b2	ba971	764273
X_bin_med	6	-2	0.5	1	5e99abfe5f11674503d986008c1a1d43	5e99a	387482
X_bin_med	6	-2	0.5	3	21644c845d4990912f46cd49d5243695	21644	136772
X_bin_med	6	-2	0.5	5	3e81440df04623c5b03f4494a8b64a3b	3e814	256020
X_bin_med	6	-2	1	1	284293b793a258f060c92b19009ba4dd	28429	164905
X_bin_med	6	-2	1	3	13429e1b23296b9d1ea736a2abab79e1	13429	78889
X_bin_med	6	-2	1	5	e88164dd3d0a3ef9b575707b96137337	e8816	952342
X_bin_med	6	-2	2	1	5197537c1ad3a8ac880d0de30216e927	51975	334197
X_bin_med	6	-2	2	3	ed428aea14072fc87f3b9a506c5941eb	ed428	971816
X_bin_med	6	-2	2	5	fbdc89e595b198dcccbd8c23825572d9	fbdc8	1031624
X_bin_med	6	-2	4	1	cc6b1ec6ef8de8f4ff4bd11de0288292	cc6b1	837297
X_bin_med	6	-2	4	3	dc3f937e124f4c7c8fed937b42048713	dc3f9	902137
X_bin_med	6	-2	4	5	174e605f9679792b56cc0dfe7b1f6146	174e6	95462
X_bin_med	7	-5	0.5	1	852fb697961cd572454c56232e740884	852fb	545531
X_bin_med	7	-5	0.5	3	1f1d310b147cb3afdb922bc1ad2d278a	1f1d3	127443
X_bin_med	7	-5	0.5	5	ba91dfa802ad34c83d5cc03d5d01f234	ba91d	764189
X_bin_med	7	-5	1	1	f60286393c8762c0f6e4e1344e582398	f6028	1007656
X_bin_med	7	-5	1	3	d10d5d1bbdcd2da4d49a1d2d53ce1d2d	d10d5	856277
X_bin_med	7	-5	1	5	96a202cacd41cc5a4494cf9dfd6f2eb9	96a20	616992
X_bin_med	7	-5	2	1	aa6665638f71be6b8b704d18c6d4ac74	aa666	697958
X_bin_med	7	-5	2	3	7cdeb028249f8a98bef0740f35b789fc	7cdeb	511467
X_bin_med	7	-5	2	5	05eabbd58b73ca8ea18f3f8e1eb2341c	05eab	24235
X_bin_med	7	-5	4	1	0f56811a944c64db5eea578a5963b04d	0f568	62824
X_bin_med	7	-5	4	3	2dacc05792c6ebbd7f2e21a3b16008f4	2dacc	187084
